QD1_yrborn2,QD2_gender,QD14_ethnic,QD4_adulthh,QD5_childhh,QD3_marstat,QD16_disab,QD18_urbrur,QL2_Edntt,QO1_Labfor,QO4E_grader,Q1_income,weight
3,0,13,2,2,2,0,2,7,1,2,-2,1.2395157755216293
3,1,9,2,2,2,0,2,3,2,3,5,1.0834516844773447
3,1,9,2,4,3,0,2,6,1,2,8,1.0834516844773447
3,0,9,1,1,4,0,2,5,2,3,1,0.8441121572792397
4,0,9,3,1,2,0,2,7,1,2,5,2.1658008941600237
3,0,9,2,1,2,0,2,1,1,4,-2,1.2839933018660685
4,0,9,2,2,2,0,4,1,1,4,-2,1.843763573073965
3,0,9,2,2,2,0,4,3,1,3,-2,1.4110622996935769
6,1,9,1,0,5,0,4,8,3,2,-2,0.6885533722439664
6,0,9,1,0,4,1,4,1,3,4,-2,0.7877349580168198
2,1,9,1,1,1,0,4,1,2,5,2,0.7363352679778169
8,0,9,1,0,1,0,3,7,3,-2,-2,0.9565049621090153
8,1,9,1,0,1,0,2,1,3,-2,2,0.8360739999229381
2,1,9,2,0,3,0,3,7,1,4,9,1.081253448206792
6,1,9,2,0,2,1,4,1,3,-2,-2,0.8063802833039478
5,0,9,-2,-2,2,0,3,8,1,3,-2,1.1803010702042271
2,0,9,2,0,1,1,3,3,4,-2,-2,1.2370008977705367
5,0,9,2,0,2,1,3,1,5,NA,2,1.1803010702042271
3,1,9,2,2,2,0,3,1,1,3,3,0.9836805103487635
6,0,10,2,0,2,0,3,5,6,NA,4,0.9521374099400496
5,1,10,3,0,2,0,3,5,3,4,2,1.3745617028920178
4,1,9,4,0,2,0,3,1,1,3,9,1.712486106530223
6,1,10,2,0,2,1,3,5,3,3,-2,0.8322563544778716
5,1,10,2,0,2,1,3,6,11,NA,5,1.0647986969287535
6,1,9,2,0,2,0,3,7,3,3,4,0.8322563544778716
5,1,9,2,2,2,0,4,7,2,2,1,1.1639608092243445
7,0,9,1,0,5,0,4,1,3,4,-2,0.756153039783384
7,1,9,1,0,5,1,3,4,3,3,3,0.6609478482282338
6,1,9,2,0,2,0,1,1,3,6,-2,0.5714991608326524
5,1,9,2,0,2,0,1,5,2,3,-2,0.7311828362455158
5,0,1,3,0,2,0,1,7,1,3,-2,1.0798544599416275
4,0,9,3,2,2,0,1,1,1,3,4,1.3453275730249306
6,0,9,1,0,1,1,1,0,3,4,2,0.44525233237921324
6,1,9,1,0,2,0,1,0,3,3,2,0.3891918110769595
5,1,7,2,0,1,1,1,5,5,NA,3,0.7311828362455158
8,1,9,1,0,2,1,1,0,3,5,2,0.5925437405193295
2,0,4,2,0,1,0,1,7,1,3,-2,0.8766893110637126
3,0,2,4,3,2,0,1,7,1,2,-2,1.0296011087087373
5,0,9,1,0,1,1,3,0,5,NA,1,0.6252198923580273
6,0,9,1,0,5,0,3,3,3,3,3,0.4886775592999773
-2,0,12,2,-2,2,0,3,7,1,-2,-2,1.1437931929342562
6,0,9,1,0,5,1,3,0,3,6,1,0.4886775592999773
5,1,9,1,0,-2,0,3,7,3,3,4,0.5465001405560798
2,0,9,1,0,1,0,2,7,1,3,3,0.6552544835167
5,1,9,2,0,2,0,3,1,1,3,5,0.8024947155452006
5,1,9,2,0,2,0,2,8,1,4,3,0.8024947155452006
4,1,9,2,1,2,0,2,1,2,3,4,0.9997812743099813
6,0,9,2,0,2,0,2,1,3,4,3,0.7175865655674355
7,0,9,1,0,5,1,2,1,3,5,1,0.4656055921610233
3,1,9,2,2,1,0,2,1,11,NA,1,0.6833616747148124
4,1,9,2,2,2,0,2,7,11,NA,9,0.8929140572656505
1,1,13,4,0,3,0,2,1,1,3,2,1.1964071570555506
6,0,9,2,0,2,1,2,3,3,3,2,0.798677418921494
3,1,9,2,0,2,0,2,7,2,4,7,0.8516145304354779
5,0,9,2,0,2,0,2,1,1,4,3,1.02183740665766
